player,position
Shane Duffy,DEF
Scott Malone,Unknown
Tim Krul,GK
Davide Zappacosta,Unknown
lvaro Morata,FWD
Joy Mukena,Unknown
Christian Atsu,MID
Jack Colback,Unknown
Adam Legzdins,Unknown
Aaron Mooy,MID
Alexandre Lacazette,FWD
Wesley Hoedt,Unknown
Nathan Ferguson,DEF
Kazaiah Sterling,Unknown
Yoan Gouffran,Unknown
Daniel Bachmann,Unknown
Markus Suttner,Unknown
Ahmed El-Sayed Hegazi,Unknown
Yves Bissouma,MID
Matthew Daly,Unknown
Issa Diop,DEF
Bonatini Lohner Maia Bonatini,Unknown
James Maddison,MID
Andr-Frank Zambo Anguissa,Unknown
Joe Powell,Unknown
Sokratis Papastathopoulos,DEF
George Marsh,Unknown
Roderick Jefferson Gonalves Miranda,Unknown
Jefferson Lerma,Unknown
Rafa Mir,Unknown
Dan Burn,DEF
Jonathan Castro Otto,DEF
Ben Wilmot,Unknown
Sam Woods,DEF
Miguel Almirn,Unknown
Andr Schrrle,Unknown
Loc Damour,Unknown
Aaron Rowe,Unknown
Ben White,DEF
David Button,GK
Fabian Schr,Unknown
Joe Bennett,Unknown
Conor Coventry,Unknown
Joe Tupper,Unknown
Kenneth Zohore,FWD
Stuart Armstrong,MID
Bukayo Saka,MID
Bernd Leno,GK
Timothy Eyoma,Unknown
Pontus Dahlberg,Unknown
Lucas Perri,Unknown
Gary Madine,Unknown
Lucas Torreira,MID
Adama Diakhaby,Unknown
Conor Coady,DEF
Romain Sass,DEF
Vicente Guaita,GK
Mohamed Elyounoussi,Unknown
Floyd Ayit,Unknown
Naby Keita,MID
Felipe Anderson Pereira Gomes,MID
Nikola Tavares,Unknown
Mark Travers,Unknown
Philippe Sandler,Unknown
Sean Morrison,Unknown
Ashley Darel Jazz Richards,Unknown
Neil Etheridge,Unknown
Aboubakar Kamara,MID
Chris Mepham,Unknown
Luciano Vietto,Unknown
Kortney Hause,Unknown
Cyrus Christie,DEF
Mason Greenwood,MID
Matteo Guendouzi,MID
Florin Andone,FWD
Sean Longstaff,MID
Harvey Elliott,MID
Yerry Mina,DEF
Cameron John,Unknown
Luke Amos,Unknown
Mateo Kovacic,MID
Max Sanders,Unknown
Oliver Skipp,MID
Antonio Barreca,Unknown
Addji Keaninkin Marc-Israel Guehi,Unknown
Aron Gunnarsson,Unknown
Bright Enobakhare,Unknown
Kevin McDonald,MID
David Brooks,Unknown
aglar Sync,Unknown
Greg Cunninghamm,Unknown
Juninho Bacuna,Unknown
Anthony Pilkington,Unknown
Josh Knight,Unknown
Callum Roberts,Unknown
Morgan Gibbs-White,MID
Kieran Dowell,Unknown
Alisson Ramses Becker,GK
Youri Tielemans,MID
Frederick Woodman,Unknown
John Ruddy,GK
Ral Jimnez,FWD
Ivan Cavaleiro,Unknown
Tom Cairney,MID
Anthony Driscoll-Glennon,Unknown
Bobby Reid,Unknown
Kayne Ramsay,Unknown
Rben Diogo da Silva Neves,Unknown
Jos Diogo Dalot Teixeira,Unknown
Matthew Connolly,Unknown
Stefan Johansen,MID
Lucas Digne,DEF
Ryan Schofield,Unknown
Carlos Snchez,Unknown
Leon Balogun,Unknown
Kadeem Harris,Unknown
Neeskens Kebano,MID
Jamie Sterry,Unknown
Arijanet Muric,Unknown
Luca De La Torre,Unknown
Joe Ralls,Unknown
Frederico Rodrigues de Paula Santos,Unknown
Emile Smith-Rowe,DEF
Tim Ream,DEF
Omar Bogle,Unknown
Tyreke Johnson,Unknown
Leander Dendoncker,MID
Bernardo Fernandes da Silva Junior,DEF
