,value,total_points
1483,52,2
1484,52,3
1485,52,5
1486,52,2
1487,52,0
1488,52,0
1489,52,1
1490,52,2
1491,52,1
1492,52,1
1493,52,1
1494,52,2
1495,52,3
1496,52,2
1497,52,0
1498,52,0
1499,52,0
1500,52,0
1501,52,3
1502,52,2
1503,52,2
1504,52,2
1505,45,0
1506,45,0
1507,45,0
1508,45,0
1509,45,0
1510,45,0
1511,45,1
1512,45,1
1513,45,0
1514,45,1
1515,45,1
1516,45,0
1517,45,0
1518,45,0
1519,45,0
1520,45,0
1521,45,0
1522,45,0
1523,45,1
1524,45,6
1525,45,2
1526,45,1
1527,45,0
1528,45,0
1529,45,1
1530,45,1
1531,45,1
1532,45,0
1533,45,0
1534,40,0
1535,40,0
1536,40,8
1537,55,1
1538,55,2
1539,55,2
1540,54,3
1541,54,3
1542,53,0
1543,53,1
1544,52,1
1545,52,3
1546,52,2
1547,51,1
1548,51,2
1549,51,2
1550,51,3
1551,51,0
1552,51,3
1553,51,2
1554,51,2
1555,50,2
1556,50,3
1557,50,3
1558,50,1
1559,50,3
1560,50,3
1561,50,1
1562,50,3
1563,50,2
1564,50,1
1565,50,11
1566,50,1
1567,50,9
1568,50,3
1569,50,3
1570,50,3
1571,50,2
1572,50,2
1573,50,2
1574,50,2
1575,40,0
1576,40,0
1577,40,0
1578,40,0
1579,40,0
1580,40,0
1581,40,0
1582,40,0
1583,40,0
1584,40,0
1585,40,0
1586,40,0
1587,40,0
1588,40,0
1589,40,0
1590,40,0
1591,40,0
1592,40,0
1593,40,0
1594,40,0
1595,40,0
1596,40,0
1597,40,0
1598,40,0
1599,40,0
1600,40,0
1601,40,0
1602,40,0
1603,40,0
1604,40,0
1605,40,0
1606,40,0
1607,40,0
1608,40,0
1609,40,0
1610,40,0
1611,40,0
1612,40,0
1613,50,0
1614,50,0
1615,50,0
1616,49,0
1617,49,0
1618,49,0
1619,49,0
1620,49,0
1621,48,0
1622,48,0
1623,48,0
1624,48,0
1625,48,0
1626,48,0
1627,48,0
1628,48,0
1629,48,0
1630,47,0
1631,47,0
1632,47,0
1633,47,0
1634,47,0
1635,47,0
1636,47,0
1637,47,0
1638,47,0
1639,47,0
1640,47,2
1641,47,0
1642,47,0
1643,47,0
1644,47,0
1645,47,0
1646,47,0
1647,47,0
1648,47,0
1649,47,0
1650,47,0
1651,40,0
1652,40,0
1653,40,0
1654,40,0
1655,40,0
1656,40,0
1657,40,0
1658,40,0
1659,40,0
1660,40,0
1661,40,0
1662,40,0
1663,40,0
1664,40,0
1665,40,0
1666,40,0
1667,40,0
1668,40,1
1669,40,0
1670,40,0
1671,39,0
1672,39,0
1673,39,0
1674,39,0
1675,39,0
1676,39,0
